2008.00,29.00,34.00,342008,292008,62.00,4.00,51.00
2008.00,30.00,20.00,202008,302008,60.00,13.00,32.00
2008.00,32.00,9.00,92008,322008,49.00,16.00,24.00
2009.00,5.00,19.00,192009,52009,58.00,5.00,41.00
2009.00,6.00,26.00,262009,62009,45.00,5.00,44.00
2009.00,9.00,32.00,322009,92009,54.00,8.00,13.00
2009.00,10.00,33.00,332009,102009,38.00,11.00,35.00
2009.00,11.00,8.00,82009,112009,72.00,8.00,75.00
2009.00,12.00,29.00,292009,122009,44.00,0.00,54.00
2009.00,13.00,31.00,312009,132009,72.00,0.00,37.00
2009.00,15.00,4.00,42009,152009,69.00,10.00,33.00
2009.00,16.00,27.00,272009,162009,52.00,7.00,51.00
2009.00,20.00,28.00,282009,202009,72.00,10.00,44.00
2009.00,22.00,24.00,242009,222009,47.00,7.00,45.00
2009.00,23.00,2.00,22009,232009,50.00,10.00,65.00
2009.00,25.00,7.00,72009,252009,49.00,8.00,37.00
2009.00,34.00,1.00,12009,342009,72.00,6.00,34.00
2010.00,5.00,3.00,32010,52010,65.00,6.00,50.00
2010.00,7.00,4.00,42010,72010.00,65.00,1.00,80.00
2010.00,15.00,8.00,82010,152010,0.00,0.00,44.00
2010.00,16.00,1.00,12010,162010,66.00,2.00,44.00
2010.00,19.00,6.00,62010,192010,75.00,8.00,16.00
2010.00,24.00,13.00,132010,242010,46.00,1.00,57.00
2010.00,26.00,23.00,232010,262010,45.00,7.00,44.00
2010.00,27.00,25.00,252010,272010,57.00,9.00,38.00
2010.00,29.00,30.00,302010,292010,54.00,2.00,21.00
2010.00,31.00,32.00,322010,312010,66.00,1.00,35.00
2011.00,1.00,29.00,12011,292011,55.00,1.00,30.00
2011.00,4.00,19.00,42011,192011,75.00,1.00,43.00
2011.00,5.00,11.00,52011,112011,65.00,0.00,84.00
2011.00,7.00,3.00,72011,32011,64.00,7.00,55.00
2011.00,9.00,32.00,92011,322011,67.00,4.00,51.00
2011.00,15.00,8.00,152011,82011,50.00,1.00,24.00
2011.00,24.00,10.00,242011,102011,48.00,3.00,30.00
2011.00,25.00,20.00,252011,202011,65.00,0.00,48.00
2011.00,26.00,23.00,262011,232011,56.00,1.00,27.00
2011.00,33.00,6.00,332011,62011,41.00,1.00,51.00
2011.00,28.00,34.00,282011,342011,65.00,0.00,31.00
2011.00,31.00,2.00,312011,22011,65.00,0.00,40.00
2012.00,1.00,2.00,12012,22012,60.00,9.00,42.00
2012.00,3.00,27.00,32012,272012,44.00,6.00,23.00
2012.00,6.00,29.00,62012,292012,56.00,2.00,39.00
2012.00,7.00,16.00,72012,162012,60.00,12.00,34.00
2012.00,8.00,9.00,82012,92012,63.00,5.00,43.00
2012.00,12.00,11.00,122012,112012,60.00,4.00,44.00
2012.00,14.00,22.00,142012,222012,40.00,0.00,83.00
2012.00,15.00,13.00,152012,132012,70.00,5.00,80.00
2012.00,19.00,4.00,192012,42012,36.00,0.00,33.00
2012.00,21.00,25.00,212012,252012,62.00,3.00,55.00
2012.00,24.00,34.00,242012,342012,60.00,5.00,40.00
2012.00,26.00,32.00,262012,322012,52.00,10.00,37.00
2012.00,33.00,10.00,332012,102012,63.00,13.00,53.00
2012.00,30.00,5.00,302012,52012,55.00,13.00,48.00
2013.00,1.00,15.00,12013,152013,79.00,4.00,41.00
2013.00,2.00,30.00,22013,302013,79.00,3.00,69.00
2013.00,3.00,6.00,32013,62013,68.00,24.00,43.00
2013.00,8.00,7.00,82013,72013,64.00,13.00,61.00
2013.00,11.00,27.00,112013,272013,59.00,11.00,64.00
2013.00,12.00,23.00,122013,232013,61.00,0.00,40.00
2013.00,14.00,31.00,142013,312013,40.00,5.00,57.00
2013.00,16.00,10.00,162013,102013,33.00,0.00,44.00
2013.00,20.00,28.00,202013,282013,47.00,5.00,61.00
2013.00,22.00,5.00,222013,52013,56.00,20.00,44.00
2013.00,24.00,4.00,242013,42013,62.00,17.00,51.00
2013.00,25.00,13.00,252013,132013,85.00,14.00,51.00
2013.00,33.00,19.00,332013,192013,80.00,8.00,36.00
2013.00,29.00,21.00,292013,212013,60.00,7.00,43.00
2013.00,32.00,26.00,322013,262013,67.00,7.00,40.00
2014.00,2.00,5.00,22014,52014,52.00,3.00,36.00
2014.00,4.00,19.00,42014,192014,71.00,0.00,31.00
2014.00,11.00,1.00,112014,12014,60.00,12.00,20.00
2014.00,13.00,8.00,132014,82014,34.00,7.00,30.00
2014.00,20.00,6.00,202014,62014,32.00,10.00,34.00
2014.00,22.00,14.00,222014,142014,60.00,4.00,62.00
2014.00,25.00,33.00,252014,332014,71.00,7.00,19.00
2014.00,26.00,12.00,262014,122014,27.00,9.00,73.00
2014.00,27.00,31.00,272014,312014,25.00,0.00,51.00
2014.00,28.00,16.00,282014,162014,21.00,10.00,44.00
2014.00,29.00,23.00,292014,232014,43.00,4.00,26.00
2014.00,30.00,32.00,302014,322014,46.00,7.00,34.00
2015.00,1.00,7.00,12015,72015,60.00,2.00,65.00
2015.00,9.00,19.00,92015,192015,75.00,10.00,38.00
2015.00,10.00,6.00,102015,62015,29.00,6.00,32.00
2015.00,12.00,20.00,122015,202015,32.00,7.00,43.00
2015.00,14.00,2.00,142015,22015,60.00,8.00,45.00
2015.00,16.00,33.00,162015,332015,78.00,4.00,36.00
2015.00,24.00,13.00,242015,132015,52.00,5.00,41.00
2015.00,29.00,28.00,292015,282015,48.00,3.00,42.00
2015.00,34.00,3.00,342015,32015,47.00,10.00,29.00
2015.00,30.00,26.00,302015,262015,48.00,10.00,62.00
2015.00,31.00,15.00,312015,152015,71.00,2.00,32.00
2015.00,32.00,5.00,322015,52015,52.00,8.00,60.00
2016.00,1.00,20.00,12016,202016,60.00,2.00,54.00
2016.00,3.00,9.00,32016,92016,53.00,7.00,44.00
2016.00,4.00,7.00,42016,72016,37.00,7.00,28.00
2016.00,6.00,23.00,62016,232016,40.00,12.00,38.00
2016.00,12.00,32.00,122016,322016,38.00,15.00,66.00
2016.00,13.00,25.00,132016,252016,62.00,0.00,47.00
2016.00,15.00,11.00,152016,112016,60.00,16.00,45.00
2016.00,19.00,18.00,192016,182016,63.00,4.00,24.00
2016.00,22.00,29.00,222016,292016,61.00,1.00,47.00
2016.00,26.00,28.00,262016,282016,51.00,4.00,41.00
2016.00,27.00,8.00,272016,82016,35.00,16.00,33.00
2016.00,30.00,16.00,302016,162016,43.00,8.00,36.00
2016.00,31.00,14.00,312016,142016,60.00,7.00,41.00
2017.00,1.00,13.00,12017,132017,59.00,5.00,52.00
2017.00,2.00,28.00,22017,282017,46.00,1.00,65.00
2017.00,3.00,12.00,32017,122017,26.00,6.00,23.00
2017.00,4.00,17.00,42017,172017,72.00,1.00,78.00
2017.00,7.00,10.00,72017,102017,59.00,0.00,37.00
2017.00,9.00,26.00,92017,262017,52.00,0.00,46.00
2017.00,11.00,6.00,112017,62017,31.00,6.00,51.00
2017.00,15.00,8.00,152017,82017,38.00,8.00,26.00
2017.00,16.00,23.00,162017,232017,49.00,8.00,21.00
2017.00,18.00,20.00,182017,202017,60.00,3.00,31.00
2017.00,21.00,32.00,212017,322017,60.00,8.00,65.00
2017.00,22.00,25.00,222017,252017,64.00,3.00,41.00
2017.00,30.00,19.00,302017,192017,80.00,4.00,50.00
2017.00,31.00,27.00,312017,272017,37.00,2.00,57.00
2018.00,5.00,11.00,52018,112018,60.00,0.00,39.00
2018.00,7.00,3.00,72018,32018,46.00,4.00,45.00
2018.00,9.00,2.00,92018,22018,60.00,1.00,41.00
2018.00,10.00,17.00,102018,172018,70.00,3.00,45.00
2018.00,12.00,28.00,122018,282018,54.00,3.00,51.00
2018.00,13.00,32.00,132018,322018,47.00,4.00,44.00
2018.00,16.00,18.00,162018,182018,69.00,1.00,105.00
2018.00,20.00,6.00,202018,62018,31.00,3.00,45.00
2018.00,25.00,1.00,252018,12018,60.00,1.00,44.00
2018.00,26.00,21.00,262018,212018,60.00,2.00,55.00
2018.00,27.00,15.00,272018,152018,72.00,6.00,36.00
2018.00,30.00,23.00,302018,232018,41.00,0.00,73.00
